what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1273727418780
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1273727421253
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1273727421761
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273727443247
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273729130591
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273729130769
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273729133339
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273729134682
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1273729136563
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1273729137834
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20090910-1601,"org.eclipse.dltk.debug.ui",1273729137860
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1273729137872
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1273729137874
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1273729137876
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1273729137895
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1273729137897
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui",1273729137897
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090914-1400,"org.eclipse.php.debug.core",1273729137897
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui",1273729137904
stopped,bundle,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui",1273729137937
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1273729137978
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1273729138024
stopped,bundle,com.python.pydev.codecompletion,1.5.3.1260479439,"com.python.pydev.codecompletion",1273729138059
stopped,bundle,com.python.pydev.refactoring,1.5.3.1260479439,"com.python.pydev.refactoring",1273729138145
stopped,bundle,com.python.pydev.analysis,1.5.3.1260479439,"com.python.pydev.analysis",1273729138182
