what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.python.pydev.debug,1.5.3.1260479439,"com.python.pydev.debug",1273729138286
stopped,bundle,com.python.pydev.fastparser,1.5.3.1260479439,"com.python.pydev.fastparser",1273729138375
stopped,bundle,com.python.pydev,1.5.3.1260479439,"com.python.pydev",1273729138521
stopped,bundle,org.python.pydev.customizations,1.5.3.1260479439,"org.python.pydev.customizations",1273729138577
stopped,bundle,org.python.pydev.debug,1.5.3.1260479439,"org.python.pydev.debug",1273729138601
stopped,bundle,org.python.pydev.refactoring,1.5.3.1260479439,"org.python.pydev.refactoring",1273729138664
stopped,bundle,org.python.pydev.templates,1.5.3.1260479439,"org.python.pydev.templates",1273729138678
stopped,bundle,org.python.pydev,1.5.3.1260479439,"org.python.pydev",1273729138679
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1273729138679
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1273729138679
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ui",1273729138699
stopped,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20090904-1300,"org.eclipse.team.svn.mylyn",1273729138699
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1273729138699
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.resources.ui",1273729138712
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1273729138727
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1273729138727
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.help.ui",1273729138749
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.bugs",1273729138760
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1273729138760
stopped,bundle,org.eclipse.rse.importexport,1.2.1.v200909160005,"org.eclipse.rse.importexport",1273729138801
stopped,bundle,org.eclipse.rse.shells.ui,3.0.100.v200905272300,"org.eclipse.rse.shells.ui",1273729138835
stopped,bundle,org.eclipse.rse.files.ui,3.1.1.v200908061445,"org.eclipse.rse.files.ui",1273729138855
stopped,bundle,org.eclipse.rse.processes.ui,3.0.101.v200907301400,"org.eclipse.rse.processes.ui",1273729138864
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1273729138890
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1273729138917
